filename,algorithm,score
pa_50_21,SCALE,0.487
pa_50_21,PFS,0.385
pa_50_21,PFS',0.511
pa_50_21,FTA,0.347
pa_50_21,VPSC,0.558
pa_50_21,PRISM,0.489
pa_50_21,GTREE,0.52
pa_50_21,RWordle-L,0.649
pa_50_22,initial,0.0
pa_50_22,SCALE,0.487
pa_50_22,PFS,0.385
pa_50_22,PFS',0.511
pa_50_22,FTA,0.347
pa_50_22,VPSC,0.558
pa_50_22,PRISM,0.489
pa_50_22,GTREE,0.52
pa_50_22,RWordle-L,0.649
pa_50_23,initial,0.0
pa_50_23,SCALE,0.518
pa_50_23,PFS,0.357
pa_50_23,PFS',0.536
pa_50_23,FTA,0.476
pa_50_23,VPSC,0.508
pa_50_23,PRISM,0.515
pa_50_23,GTREE,0.503
pa_50_23,RWordle-L,0.641
pa_50_24,initial,0.0
pa_50_24,SCALE,0.518
pa_50_24,PFS,0.34
pa_50_24,PFS',0.485
pa_50_24,FTA,0.419
pa_50_24,VPSC,0.562
pa_50_24,PRISM,0.48
pa_50_24,GTREE,0.495
pa_50_24,RWordle-L,0.618
pa_50_25,initial,0.0
pa_50_25,SCALE,0.487
pa_50_25,PFS,0.385
pa_50_25,PFS',0.511
pa_50_25,FTA,0.347
pa_50_25,VPSC,0.558
pa_50_25,PRISM,0.489
pa_50_25,GTREE,0.52
pa_50_25,RWordle-L,0.649
pa_50_26,initial,0.0
pa_50_26,SCALE,0.487
pa_50_26,PFS,0.385
pa_50_26,PFS',0.511
pa_50_26,FTA,0.347
pa_50_26,VPSC,0.558
pa_50_26,PRISM,0.489
pa_50_26,GTREE,0.52
pa_50_26,RWordle-L,0.649
pa_50_27,initial,0.0
pa_50_27,SCALE,0.487
pa_50_27,PFS,0.385
pa_50_27,PFS',0.511
pa_50_27,FTA,0.347
pa_50_27,VPSC,0.558
pa_50_27,PRISM,0.489
pa_50_27,GTREE,0.52
pa_50_27,RWordle-L,0.649
pa_50_28,initial,0.0
pa_50_28,SCALE,0.487
pa_50_28,PFS,0.385
pa_50_28,PFS',0.511
pa_50_28,FTA,0.347
pa_50_28,VPSC,0.558
pa_50_28,PRISM,0.489
pa_50_28,GTREE,0.52
pa_50_28,RWordle-L,0.649
pa_50_29,initial,0.0
pa_50_29,SCALE,0.495
pa_50_29,PFS,0.343
pa_50_29,PFS',0.418
pa_50_29,FTA,0.475
pa_50_29,VPSC,0.463
pa_50_29,PRISM,0.481
pa_50_29,GTREE,0.483
pa_50_29,RWordle-L,0.609
pa_50_2,initial,0.0
pa_50_2,SCALE,0.518
pa_50_2,PFS,0.379
pa_50_2,PFS',0.522
pa_50_2,FTA,0.41
pa_50_2,VPSC,0.534
pa_50_2,PRISM,0.488
pa_50_2,GTREE,0.502
pa_50_2,RWordle-L,0.608
pa_50_30,initial,0.0
pa_50_30,SCALE,0.495
pa_50_30,PFS,0.343
pa_50_30,PFS',0.418
pa_50_30,FTA,0.475
pa_50_30,VPSC,0.463
pa_50_30,PRISM,0.481
pa_50_30,GTREE,0.483
pa_50_30,RWordle-L,0.609
pa_50_3,initial,0.0
