filename,algorithm,score
random_10_14,RWordle-L,0.931
random_10_15,initial,0.0
random_10_15,SCALE,0.95
random_10_15,PFS,0.951
random_10_15,PFS',0.949
random_10_15,FTA,0.95
random_10_15,VPSC,0.955
random_10_15,PRISM,0.91
random_10_15,GTREE,0.9
random_10_15,RWordle-L,0.931
random_10_16,initial,0.0
random_10_16,SCALE,0.95
random_10_16,PFS,0.951
random_10_16,PFS',0.949
random_10_16,FTA,0.95
random_10_16,VPSC,0.955
random_10_16,PRISM,0.91
random_10_16,GTREE,0.9
random_10_16,RWordle-L,0.931
random_10_17,initial,0.0
random_10_17,SCALE,0.95
